Date,Open,High,Low,Close,Adj Close,Volume
1996-12-31,21.250000,22.500000,21.250000,22.375000,21.083191,24300
1997-01-02,22.000000,23.250000,22.000000,23.000000,21.672102,26000
1997-01-03,23.000000,23.250000,22.750000,23.250000,21.907669,8200
1997-01-06,23.750000,23.750000,23.250000,23.375000,22.025455,22100
1997-01-07,23.500000,23.500000,23.000000,23.000000,21.672102,8100
1997-01-08,22.875000,23.375000,22.125000,22.750000,21.436537,35800
1997-01-09,23.250000,23.250000,22.750000,23.250000,21.907669,39500
1997-01-10,23.250000,23.250000,22.875000,23.000000,21.672102,5500
1997-01-13,22.875000,23.375000,22.625000,22.875000,21.554319,28100
1997-01-14,22.500000,23.125000,22.500000,23.125000,21.789886,12600
1997-01-15,23.250000,24.625000,22.750000,24.375000,22.967722,57600
1997-01-16,24.875000,26.000000,24.500000,25.750000,24.263334,35900
1997-01-17,25.500000,25.875000,25.250000,25.500000,24.027765,17900
1997-01-20,25.375000,25.375000,24.875000,25.000000,23.556631,41200
1997-01-21,25.250000,25.250000,24.875000,25.000000,23.556631,47500
1997-01-22,25.000000,25.250000,24.750000,24.875000,23.438850,24700
1997-01-23,24.750000,24.812500,24.750000,24.750000,23.321066,500
1997-01-24,25.000000,25.250000,24.750000,24.750000,23.321066,22700
1997-01-27,25.250000,25.250000,24.750000,25.250000,23.792204,3300
1997-01-28,25.250000,25.250000,25.250000,25.250000,23.792204,300
1997-01-29,24.750000,25.000000,24.500000,24.750000,23.321066,53400
1997-01-30,24.625000,24.750000,23.500000,23.875000,22.496586,30900
1997-01-31,23.750000,23.750000,23.375000,23.750000,22.378805,28800
1997-02-03,23.750000,23.750000,23.375000,23.750000,22.378805,1500
1997-02-04,23.250000,23.375000,22.750000,22.750000,21.436537,12400
1997-02-05,23.250000,23.250000,22.750000,23.250000,21.907669,3900
1997-02-06,23.250000,23.250000,22.750000,22.750000,21.436537,4100
1997-02-07,22.750000,22.750000,22.250000,22.250000,20.965403,19100
1997-02-10,22.750000,22.750000,21.875000,21.875000,20.612057,9700
1997-02-11,21.875000,22.500000,18.250000,18.500000,17.431913,651000
1997-02-12,19.125000,20.000000,18.750000,19.375000,18.256392,287400
1997-02-13,19.625000,21.875000,19.625000,21.500000,20.258709,64900
1997-02-14,21.625000,21.625000,21.125000,21.500000,20.258709,9600
1997-02-18,21.500000,22.500000,21.125000,22.000000,20.729834,31600
1997-02-19,21.750000,21.875000,21.750000,21.750000,20.494272,16400
1997-02-20,21.750000,21.750000,21.375000,21.375000,20.140924,10200
1997-02-21,21.750000,21.750000,21.250000,21.250000,20.023142,3100
1997-02-24,21.375000,21.500000,21.375000,21.375000,20.140924,4900
1997-02-25,21.750000,21.875000,21.500000,21.875000,20.612057,24900
1997-02-26,21.875000,21.875000,21.500000,21.625000,20.376488,3300
1997-02-27,21.625000,21.625000,21.000000,21.000000,19.787573,30500
1997-02-28,20.750000,21.000000,20.625000,21.000000,19.787573,800
1997-03-03,21.000000,21.000000,20.250000,20.500000,19.316439,12000
1997-03-04,20.500000,20.500000,20.250000,20.250000,19.080873,4600
1997-03-05,20.500000,20.500000,20.000000,20.125000,18.963099,6400
1997-03-06,19.750000,20.500000,19.750000,20.000000,18.845306,7000
1997-03-07,20.125000,20.125000,19.750000,19.750000,18.609743,9300
1997-03-10,19.875000,20.000000,19.750000,19.750000,18.609743,8300
1997-03-11,20.000000,20.000000,19.750000,20.000000,18.845306,5600
1997-03-12,20.000000,20.000000,19.500000,19.625000,18.491955,19500
1997-03-13,19.875000,19.875000,19.250000,19.250000,18.138605,31400
1997-03-14,19.250000,19.625000,19.125000,19.250000,18.138605,5100
1997-03-17,19.000000,19.375000,19.000000,19.375000,18.256392,6500
1997-03-18,19.250000,19.500000,19.000000,19.250000,18.138605,5200
1997-03-19,19.000000,19.500000,19.000000,19.062500,17.961935,8500
1997-03-20,19.000000,19.250000,19.000000,19.250000,18.138605,1300
1997-03-21,19.000000,19.500000,19.000000,19.250000,18.138605,12400
1997-03-24,19.000000,19.500000,19.000000,19.250000,18.138605,1300
1997-03-25,19.000000,19.000000,19.000000,19.000000,17.903040,900
1997-03-26,19.500000,19.500000,19.000000,19.500000,18.374180,12500
1997-03-27,19.000000,19.500000,19.000000,19.125000,18.020826,2000
1997-03-31,19.500000,19.500000,19.125000,19.125000,18.020826,400
1997-04-01,19.000000,19.500000,19.000000,19.500000,18.374180,9700
1997-04-02,19.500000,19.500000,18.625000,18.750000,17.667479,29700
1997-04-03,19.000000,19.000000,18.625000,19.000000,17.903040,6100
1997-04-04,19.000000,19.000000,18.625000,18.625000,17.549694,15600
1997-04-07,19.000000,19.000000,18.625000,18.750000,17.667479,6500
1997-04-08,18.500000,18.625000,18.250000,18.250000,17.196344,8700
1997-04-09,18.250000,18.750000,18.250000,18.375000,17.314129,21700
1997-04-10,18.875000,18.875000,18.375000,18.875000,17.785263,900
1997-04-11,18.875000,18.875000,18.375000,18.875000,17.785263,19600
